var,raw_type,raw_map,num_unique_responses,num_response_nulls,category,category_abbreviated,subcategory1,var_type,cat_column_name,model_learn,model_top10,visual_component,visual_old_name,survey_question
acehurt1,num,,6,381899,Adverse Childhood Experiences,ace,abuse,cat,ace_abuse_acehurt1_cat,,,,,"Not including spanking, (before age 18), how often did a parent or adult in your home ever hit, beat, kick, or physically hurt you in any way? Was itâ€”"
aceadned,num,,8,381581,Adverse Childhood Experiences,ace,basicneeds,cat,ace_basicneeds_aceadned_cat,,,,,"For how much of your childhood was there an adult in your household who tried hard to make sure your basic needs were met? Would you say never, a little of the time, some of the time, most of the time, or all of the time?"
acedeprs,num,,5,381433,Adverse Childhood Experiences,ace,depressed,bin,ace_depressed_acedeprs_bin,,,,,"Did you live with anyone who was depressed, mentally ill, or suicidal?"
acedrink,num,,5,381216,Adverse Childhood Experiences,ace,drinking,bin,ace_drinking_acedrink_bin,,,,,Did you live with anyone who was a problem drinker or alcoholic?
acedrugs,num,,5,381274,Adverse Childhood Experiences,ace,drugs,bin,ace_drugs_acedrugs_bin,,,,,Did you live with anyone who used illegal street drugs or who abused prescription medications?
acehvsex,num,,6,382100,Adverse Childhood Experiences,ace,forcedsex,cat,ace_forcedsex_acehvsex_cat,,,,,"How often did anyone at least 5 years older than you or an adult, force you to have sex?"
acedivrc,num,,6,381408,Adverse Childhood Experiences,ace,parentmaritalstatus,bin,ace_parentmaritalstatus_acedivrc_bin,,,,,Were your parents separated or divorced?
aceprisn,num,,5,381129,Adverse Childhood Experiences,ace,prison,bin,ace_prison_aceprisn_bin,,,,,"Did you live with anyone who served time or was sentenced to serve time in a prison, jail, or other correctional facility?"
acepunch,num,,6,382148,Adverse Childhood Experiences,ace,punch,cat,ace_punch_acepunch_cat,,,,,"How often did your parents or adults in your home ever slap, hit, kick, punch or beat each other up?"
aceadsaf,num,,8,381672,Adverse Childhood Experiences,ace,safe,cat,ace_safe_aceadsaf_cat,,,,,"For how much of your childhood was there an adult in your household who made you feel safe and protected? Would you say never, a little of the time, some of the time, most of the time, or all of the time?Â "
aceswear,num,,6,382186,Adverse Childhood Experiences,ace,swear,cat,ace_swear_aceswear_cat,,,,,"How often did a parent or adult in your home ever swear at you, insult you, or put you down?"
acetouch,num,,6,382120,Adverse Childhood Experiences,ace,touchedsexually,cat,ace_touchedsexually_acetouch_cat,,,,,"How often did anyone at least 5 years older than you or an adult, ever touch you sexually?"
acetthem,num,,6,382120,Adverse Childhood Experiences,ace,touchthemsexually,cat,ace_touchthemsexually_acetthem_cat,,,,,"How often did anyone at least 5 years older than you or an adult, try to make you touch them sexually?"
casthno2,num,,5,433093,Child Demographics,cd,current,bin,cd_current_casthno2_bin,,,,,Does the child still have asthma?
rcsgendr,num,,4,385174,Child Demographics,cd,gender,cat,cd_gender_rcsgendr_cat,,,,,Is the child a boy or a girl? (Random Child Selection)
_cprace1,num,,10,383099,Child Demographics,cd,race,cat,cd_race__cprace1_cat,,,,,Preferred Child Race Categories
rcsrltn2,num,,9,384349,Child Demographics,cd,relationship,cat,cd_relationship_rcsrltn2_cat,,,,,How are you related to the child?
crgvhou1,num,,5,400805,Care Giver,cg,30dayhousecare,bin,cg_30dayhousecare_crgvhou1_bin,,,,,"In the past 30 days, did you provide care for this person by managing household tasks such as cleaning, managing money, or preparing meals?"
crgvper1,num,,5,400749,Care Giver,cg,30daymedsfeedbathecare,bin,cg_30daymedsfeedbathecare_crgvper1_bin,,,,,"In the past 30 days, did you provide care for this person by managing personal care such as giving medications, feeding, dressing, or bathing?"
caregiv1,num,,6,251500,Care Giver,cg,30dayregularcare,cat,cg_30dayregularcare_caregiv1_cat,,,,,"During the past 30 days, did you provide regular care or assistance to a friend or family member who has a health problem or disability?"
crgvalzd,num,,5,405142,Care Giver,cg,alzheimers,bin,cg_alzheimers_crgvalzd_bin,,,,,"Does the person you care for also have AlzheimerÂ´s disease, dementia or other cognitive impairment disorder?"
crgvprb3,num,,18,402314,Care Giver,cg,condition,cat,cg_condition_crgvprb3_cat,,,,,"What is the main health problem, long-term illness, or disability that the person you care for has?"
crgvhrs1,num,,7,402847,Care Giver,cg,hoursperweek,cat,cg_hoursperweek_crgvhrs1_cat,,,,,": In an average week, how many hours do you provide care or assistance?"
crgvlng1,num,,8,400848,Care Giver,cg,howlongprovidecare,cat,cg_howlongprovidecare_crgvlng1_cat,,,,,For how long have you provided care for that person?
crgvexpt,num,,5,300854,Care Giver,cg,next2yearsgeneralcare,bin,cg_next2yearsgeneralcare_crgvexpt_bin,,,,,"In the next 2 years, do you expect to provide care or assistance to a friend or family member who has a health problem or disability?"
crgvrel4,num,,18,400396,Care Giver,cg,relationshiptoyou,cat,cg_relationshiptoyou_crgvrel4_cat,,,,,What is his or her relationship to you?
_age_g,num,,6,0,Demographics,dem,age,cat,dem_age__age_g_cat,1,1,,,Imputed age in six groups
_age65yr,num,,3,9607,Demographics,dem,age,cat,dem_age__age65yr_cat,,,,,Reported age in two age groups calculated variable
_age80,num,,63,0,Demographics,dem,age,cont,dem_age__age80_cont,,,Age,dem_age_na_cont,Imputed Age value collapsed above 80
_ageg5yr,num,,14,0,Demographics,dem,age,cat,dem_age__ageg5yr_cat,,,,,Reported age in five-year age categories calculated variable
birthsex,num,,5,340512,Demographics,dem,gender,cat,dem_gender_birthsex_cat,,,,,What was your sex at birth? Was it male or female?
cellsex,num,,5,117944,Demographics,dem,gender,cat,dem_gender_cellsex_cat,,,,,Are you male or female?
children,num,,31,10695,Demographics,dem,gender,cont,dem_gender_children_cont,,,,,How many children less than 18 years of age live in your household?
colgsex,num,,3,438663,Demographics,dem,gender,cat,dem_gender_colgsex_cat,,,,,Are you male or female?
landsex,num,,5,388864,Demographics,dem,gender,cat,dem_gender_landsex_cat,,,,,Are you male or female?Â 
nummen,num,,13,373255,Demographics,dem,gender,cat,dem_gender_nummen_cat,,,,, How many of these adults are men? 
numwomen,num,,12,373255,Demographics,dem,gender,cat,dem_gender_numwomen_cat,,,,,So the number of women in the household is [X
sexvar,num,,2,0,Demographics,dem,gender,cat,dem_gender_sexvar_cat,,,,,Sex of RespondentÂ 
trnsgndr,num,,7,196664,Demographics,dem,gender,bin,dem_gender_trnsgndr_bin,,,,,Do you consider yourself to be transgender?
_metstat,num,,3,7054,Demographics,dem,geographic,cat,dem_geographic__metstat_cat,1,,,,Metropolitan Status
_urbstat,num,,3,7054,Demographics,dem,geographic,cat,dem_geographic__urbstat_cat,1,,,,Urban/Rural Status
mscode,num,,5,322720,Demographics,dem,geographic,cat,dem_geographic_mscode_cat,,,,,Metropolitan Status Code 
hhadult,num,,33,120435,Demographics,dem,household,cont,dem_household_hhadult_cont,,,,,"How many members of your household, including yourself, are 18 years of age or older?"
qstlang,num,,2,0,Demographics,dem,language,cat,dem_language_qstlang_cat,1,,,,Language identifier
marital,num,,8,4988,Demographics,dem,maritalstatus,cat,dem_maritalstatus_marital_cat,1,,,,Are you: (marital status)
_chldcnt,num,,7,695,Demographics,dem,numchildeninhouse,cat,dem_numchildeninhouse__chldcnt_cat,1,,,,Number of children in household
_chispnc,num,,4,258533,Demographics,dem,race,cat,dem_race__chispnc_cat,,,,,"Child Hispanic, Latino/a, or Spanish origin calculated variable"
_hispanc,num,,3,5937,Demographics,dem,race,cat,dem_race__hispanc_cat,,,,,"Hispanic, Latino/a, or Spanish origin calculated variable"
_mrace1,num,,10,13363,Demographics,dem,race,cat,dem_race__mrace1_cat,,,,,Race/ethnicity categories
_prace1,num,,11,13363,Demographics,dem,race,cat,dem_race__prace1_cat,,,,,Preferred race category
_race,num,,9,10990,Demographics,dem,race,cat,dem_race__race_cat,,,,,Race/ethnicity categories
_raceg21,num,,3,10990,Demographics,dem,race,cat,dem_race__raceg21_cat,,,,,White non-Hispanic race group
_racegr3,num,,6,10990,Demographics,dem,race,cat,dem_race__racegr3_cat,,,,,Five-level race/ethnicity category
_raceprv,num,,8,0,Demographics,dem,race,cat,dem_race__raceprv_cat,,,,,Computed race groups used for internet prevalence tables
_sex,num,,2,0,Demographics,dem,sex,cat,dem_sex__sex_cat,1,1,GENDER,dem_gender_na_cat,Calculated sex variable
sofemale,num,,7,310622,Demographics,dem,sexidentity,cat,dem_sexidentity_sofemale_cat,,,,,Which of the following best represents how you think of yourself?
somale,num,,7,327101,Demographics,dem,sexidentity,cat,dem_sexidentity_somale_cat,,,,,Which of the following best represents how you think of yourself?
_imprace,num,,6,0,Demographics,dem,state,cat,dem_state__imprace_cat,1,,Race,dem_race_na_cat,Computed race groups used for internet prevalence tables
_state,num,,53,0,Demographics,dem,state,cat,dem_state__state_cat,1,,map,dem_state_na_cat,State FIPS Code
statere1,num,,2,320907,Demographics,dem,state,bin,dem_state_statere1_bin,,,,,Do you currently live in ____(state)____?
_bmi5,num,,3888,46852,General Health,gh,bmi,cont,gh_bmi__bmi5_cont,,,,,Body Mass Index (BMI)
_bmi5cat,num,,5,46852,General Health,gh,bmi,cat,gh_bmi__bmi5cat_cat,1,,BMI,gh_bmi_na_cat,Four-categories of Body Mass Index (BMI)
persdoc3,num,,6,3705,General Health,gh,careprovider,bin,gh_careprovider_persdoc3_bin,1,1,,,Do you have one person (or a group of doctors) that you think of as your personal health care provider?
_totinda,num,,3,928,General Health,gh,excercise,bin,gh_excercise__totinda_bin,1,,,,Adults who reported doing physical activity or exercise during the past 30 days other than their regular job
exerany2,num,,5,928,General Health,gh,excercise,bin,gh_excercise_exerany2_bin,1,,,,"During the past month, other than your regular job, did you participate in any physical activities or exercises such as running, calisthenics, golf, gardening, or walking for exercise?"
_rfhlth,num,,3,1161,General Health,gh,healthstatus,cat,gh_healthstatus__rfhlth_cat,1,1,Status,gh_status_na_cat,Adults with good or better health
height3,num,,143,24559,General Health,gh,height,cont,gh_height_height3_cont,,,,,"About how tall are you without shoes? (If respondent answers in metrics, put a 9 in the first column)[Round fractions down.]"
htin4,num,,58,27150,General Health,gh,height,cont,gh_height_htin4_cont,1,,,,Reported height in inches
htm4,num,,111,24562,General Health,gh,height,cont,gh_height_htm4_cont,,,,,Reported height in meters
pregnant,num,,5,358646,General Health,gh,pregnant,bin,gh_pregnant_pregnant_bin,,,,,Pregnancy Status
checkup1,num,,8,5905,General Health,gh,routinecheckup,cat,gh_routinecheckup_checkup1_cat,1,,,,"About how long has it been since you last visited a doctor for a routine checkup? [A routine checkup is a general physical exam, not an exam for a specific injury, illness, or condition.]"
_phys14d,num,,4,9494,General Health,gh,status,cat,gh_status__phys14d_cat,1,,,,"3 level not good physical health status: 0 days, 1-13 days, 14-30 days"
genhlth,num,,8,1161,General Health,gh,status,cat,gh_status_genhlth_cat,1,,,,Would you say that in general your health is:
physhlth,num,,34,9494,General Health,gh,status,cont,gh_status_physhlth_cont,,,,,"Now thinking about your physical health, which includes physical illness and injury, for how many days during
the past 30 days was your physical health not good?"
_rfbmi5,num,,3,46852,General Health,gh,weight,bin,gh_weight__rfbmi5_bin,,,,,Adults who have a body mass index greater than 25.00 (Overweight or Obese)
weight2,num,,588,40575,General Health,gh,weight,cont,gh_weight_weight2_cont,,,,,About how much do you weigh without shoes?
wtkg3,num,,572,40588,General Health,gh,weight,cont,gh_weight_wtkg3_cont,1,,,,Reported weight in kilograms
_drdxar3,num,,3,2896,Health Condition,hc,arthritis,cat,hc_arthritis__drdxar3_cat,1,,,hc_arthritis_hascondition_bin,Respondents who have had a doctor diagnose them as having some form of arthritis
_casthm1,num,,3,3558,Health Condition,hc,asthma,bin,hc_asthma__casthm1_bin,1,,,hc_asthma_hascondition_bin,Adults who have been told they currently have asthma
_lmtact3,num,,5,4318,Health Condition,hc,arthritis,cat,hc_arthritis__lmtact3_cat,,,,,Limited usual activities
_lmtwrk3,num,,5,6239,Health Condition,hc,arthritis,cat,hc_arthritis__lmtwrk3_cat,,,,,Limited work activities
arthdis2,num,,5,299495,Health Condition,hc,arthritis,bin,hc_arthritis_arthdis2_bin,,,,,"Do arthritis or joint symptoms now affect whether you work, the type of work you do or the amount of work you do?"
arthedu,num,,5,296799,Health Condition,hc,arthritis,bin,hc_arthritis_arthedu_bin,,,,,Have you ever taken an educational course or class to teach you how to manage problems related to your arthritis or joint symptoms?
havarth5,num,,5,2896,Health Condition,hc,arthritis,bin,hc_arthritis_havarth5_bin,,,,,Told Had Arthritis
joinpai2,num,,14,298763,Health Condition,hc,arthritis,cat,hc_arthritis_joinpai2_cat,,,,,"During the past 30 days, how bad was your joint pain on average on a scale of 0 to 10 where 0 is no pain and 10 is pain or aching as bad as it can be?"
lmtjoin3,num,,5,297574,Health Condition,hc,arthritis,bin,hc_arthritis_lmtjoin3_bin,,,,,Are you now limited in any way in any of your usual activities because of arthritis or joint symptoms?
_asthms1,num,,4,3558,Health Condition,hc,asthma,cat,hc_asthma__asthms1_cat,,,,,Computed asthma status
chcocncr,num,,5,1364,Health Condition,hc,cancer,bin,hc_cancer_chcocncr_bin,1,,,hc_cancer_hascondition_bin,(Ever told) you had any other types of cancer?
_ltasth1,num,,3,1746,Health Condition,hc,asthma,bin,hc_asthma__ltasth1_bin,,,,,Adults who have ever been told they have asthma
asthma3,num,,5,1746,Health Condition,hc,asthma,bin,hc_asthma_asthma3_bin,,,,,(Ever told) (you had) asthma?
asthnow,num,,5,379003,Health Condition,hc,asthma,bin,hc_asthma_asthnow_bin,,,,,Do you still have asthma?
casthdx2,num,,5,386717,Health Condition,hc,asthma,bin,hc_asthma_casthdx2_bin,,,,,"Has a doctor, nurse or other health professional EVER said that the child has asthma? "
bldstfit,num,,4,438379,Health Condition,hc,cancer,bin,hc_cancer_bldstfit_bin,,,,,Was the blood stool or FIT (you reported earlier) conducted as part of a Cologuard test?
cervscrn,num,,5,429903,Health Condition,hc,cancer,bin,hc_cancer_cervscrn_bin,,,,,Have you ever had a cervical cancer screening test?
_michd,num,,3,4635,Health Condition,hc,chd,cat,hc_chd__michd_cat,1,,,hc_chd_hascondition_bin,Respondents that have ever reported having coronary heart disease (CHD) or myocardial infarction (MI)
chcscncr,num,,5,1441,Health Condition,hc,cancer,bin,hc_cancer_chcscncr_bin,,,,,(Ever told) you had skin cancer?
cncrage,num,,98,429283,Health Condition,hc,cancer,cont,hc_cancer_cncrage_cont,,,,,"At what age were you told that you had cancer? (If Response = 2 (Two) or 3 (Three or more), ask: â€œAt what age was your first diagnosis of cancer?â€)"
cncrdiff,num,,6,428887,Health Condition,hc,cancer,cat,hc_cancer_cncrdiff_cat,,,,,How many different types of cancer have you had?
cncrtyp1,num,,33,429414,Health Condition,hc,cancer,cat,hc_cancer_cncrtyp1_cat,,,,,"What type of cancer was it? (If Response = 2 (Two) or 3 (Three or more), ask: â€œWith your most recent
diagnoses of cancer, what type of cancer was it?â€)"
colncncr,num,,5,431175,Health Condition,hc,cancer,bin,hc_cancer_colncncr_bin,,,,,"Have you ever had any other kind of test for colorectal cancer, such as virtual colonoscopy, CT colonography, blood stool test, FIT DNA, or Cologuard test?"
colnsigm,num,,6,433162,Health Condition,hc,cancer,cat,hc_cancer_colnsigm_cat,,,,,"Have you had a colonoscopy, a sigmoidoscopy, or both?"
colntes1,num,,8,434185,Health Condition,hc,cancer,cat,hc_cancer_colntes1_cat,,,,,How long has it been since your most recent colonoscopy?
crvclcnc,num,,8,433998,Health Condition,hc,cancer,cat,hc_cancer_crvclcnc_cat,,,,,How long has it been since you had your last cervical cancer screening test?
crvclhpv,num,,5,435339,Health Condition,hc,cancer,bin,hc_cancer_crvclhpv_bin,,,,,"At your most recent cervical cancer screening, did you have an H.P.V. test?"
crvclpap,num,,5,434009,Health Condition,hc,cancer,bin,hc_cancer_crvclpap_bin,,,,,"At your most recent cervical cancer screening, did you have a Pap test?"
csrvclin,num,,4,434316,Health Condition,hc,cancer,bin,hc_cancer_csrvclin_bin,,,,,Did you participate in a clinical trial as part of your cancer treatment?
csrvctl2,num,,6,437858,Health Condition,hc,cancer,cat,hc_cancer_csrvctl2_cat,,,,,Would you say your pain is currently under controlâ€¦? (Cancer Survivorship: Pain Management)
csrvdein,num,,5,434292,Health Condition,hc,cancer,bin,hc_cancer_csrvdein_bin,,,,,Were you ever denied health insurance or life insurance coverage because of your cancer?
csrvdoc1,num,,13,434364,Health Condition,hc,cancer,cat,hc_cancer_csrvdoc1_cat,,,,,: What type of doctor provides the majority of your health care?
csrvinsr,num,,5,434310,Health Condition,hc,cancer,bin,hc_cancer_csrvinsr_bin,,,,,"With your most recent diagnosis of cancer, did you have health insurance that paid for all or part of your cancer treatment? (â€œHealth insuranceâ€ also includes Medicare, Medicaid, or other types of state health programs.)  (Cancer Survivorship: Pain Management)"
csrvinst,num,,5,435540,Health Condition,hc,cancer,bin,hc_cancer_csrvinst_bin,,,,,Were these instructions written down or printed on paper for you?
csrvpain,num,,5,429773,Health Condition,hc,cancer,bin,hc_cancer_csrvpain_bin,,,,,Do you currently have physical pain caused by your cancer or cancer treatment?
csrvrtrn,num,,5,434345,Health Condition,hc,cancer,bin,hc_cancer_csrvrtrn_bin,,,,,"Have you ever received instructions from a doctor, nurse, or other health professional about where you should
return or who you should see for routine cancer check-ups after completing treatment for cancer? "
csrvsum,num,,5,434508,Health Condition,hc,cancer,bin,hc_cancer_csrvsum_bin,,,,,"Did any doctor, nurse, or other health professional ever give you a written summary of all the cancer treatments that you received?"
csrvtrt3,num,,8,431525,Health Condition,hc,cancer,cat,hc_cancer_csrvtrt3_cat,,,,,Are you currently receiving treatment for cancer?
hadhyst2,num,,5,429371,Health Condition,hc,cancer,bin,hc_cancer_hadhyst2_bin,,,,,Have you had a hysterectomy? (A hysterectomy is an operation to remove the uterus (womb).)
hadmam,num,,5,429218,Health Condition,hc,cancer,bin,hc_cancer_hadmam_bin,,,,,Have you ever had a mammogram?
hadsigm4,num,,5,431008,Health Condition,hc,cancer,bin,hc_cancer_hadsigm4_bin,,,,,Ever Had Sigmoidoscopy/Colonoscopy
howlong,num,,8,431363,Health Condition,hc,cancer,cat,hc_cancer_howlong_cat,,,,,How long has it been since you had your last mammogram? (Breast and Cervical Cancer Screening)
lastsig4,num,,8,437781,Health Condition,hc,cancer,cat,hc_cancer_lastsig4_cat,,,,,How long has it been since your most recent colonoscopy or sigmoidoscopy?
lcsctscn,num,,6,409043,Health Condition,hc,cancer,cat,hc_cancer_lcsctscn_cat,,,,,"In the last 12 months, did you have a CT or CAT scan?"
pcpsars2,num,,6,437590,Health Condition,hc,cancer,cat,hc_cancer_pcpsars2_cat,,,,,What was the main reason you had this P.S.A. test â€“ was it â€¦?
pcstalk,num,,7,437688,Health Condition,hc,cancer,cat,hc_cancer_pcstalk_cat,,,,,Have you ever had a P.S.A. test?
psatest1,num,,5,436606,Health Condition,hc,cancer,bin,hc_cancer_psatest1_bin,,,,,Ever Had PSA Test (Prostate)
psatime1,num,,8,437596,Health Condition,hc,cancer,cat,hc_cancer_psatime1_cat,,,,,About how long has it been since your most recent P.S.A. test?
sdnates1,num,,7,438320,Health Condition,hc,cancer,cat,hc_cancer_sdnates1_cat,,,,,How long since you had stool DNA
sigmtes1,num,,7,438631,Health Condition,hc,cancer,cat,hc_cancer_sigmtes1_cat,,,,,How long since you had sigmoidoscopy
smalstol,num,,4,437099,Health Condition,hc,cancer,bin,hc_cancer_smalstol_bin,,,,,One stool test uses a special kit to obtain a small amount of stool at home and returns the kit to the doctor or the lab. Have you ever had this test?
stoltest,num,,7,437505,Health Condition,hc,cancer,cat,hc_cancer_stoltest_cat,,,,,How long since you had stool test?
stooldn1,num,,5,437119,Health Condition,hc,cancer,bin,hc_cancer_stooldn1_bin,,,,,"Another stool test uses a special kit to obtain an entire bowel movement at home and returns the kit to a lab.
Have you ever had this Cologuard test? "
vclntes1,num,,8,438507,Health Condition,hc,cancer,cat,hc_cancer_vclntes1_cat,,,,,When was your most recent CT colonography or virtual colonoscopy?
vircolo1,num,,5,437124,Health Condition,hc,cancer,bin,hc_cancer_vircolo1_bin,,,,,A virtual colonoscopy uses a series of X-rays to take pictures of inside the colon. Have you ever had a virtual colonoscopy?
cdassist,num,,8,434378,Health Condition,hc,cognitive,cat,hc_cognitive_cdassist_cat,,,,hc_cognitive_hascondition_bin,"As a result of confusion or memory loss, how often do you need assistance with these day-to-day activities?"
cvdcrhd4,num,,5,4275,Health Condition,hc,chd,bin,hc_chd_cvdcrhd4_bin,,,,,(Ever told) (you had) angina or coronary heart disease?
cvdinfr4,num,,5,2655,Health Condition,hc,chd,bin,hc_chd_cvdinfr4_bin,,,,,"(Ever told) you had a heart attack, also called a myocardial infarction?"
_cholch3,num,,4,29782,Health Condition,hc,cvd,cat,hc_cvd__cholch3_cat,1,,,,Cholesterol check within past five years
cddiscus,num,,5,434390,Health Condition,hc,cognitive,bin,hc_cognitive_cddiscus_bin,,,,,Have you or anyone else discussed your confusion or memory loss with a health care professional?
cdhelp,num,,8,437426,Health Condition,hc,cognitive,cat,hc_cognitive_cdhelp_cat,,,,,"When you need help with these day-to-day activities, how often are you able to get the help that you need?"
cdhouse,num,,8,434397,Health Condition,hc,cognitive,cat,hc_cognitive_cdhouse_cat,,,,,"During the past 12 months, as a result of confusion or memory loss, how often have you given up day-to-day household activities or chores you used to do, such as cooking, cleaning, taking medications, driving, or paying bills?"
cdsocial,num,,8,434430,Health Condition,hc,cognitive,cat,hc_cognitive_cdsocial_cat,,,,,"During the past 12 months, how often has confusion or memory loss interfered with your ability to work,
volunteer, or engage in social activities outside the home? "
_rfchol3,num,,4,64289,Health Condition,hc,cvd,bin,hc_cvd__rfchol3_bin,1,,,,"Adults who have had their cholesterol checked and have been told by a doctor, nurse, or other health professional that it was high"
_rfhype6,num,,3,1912,Health Condition,hc,cvd,bin,hc_cvd__rfhype6_bin,1,1,,hc_cvd_hascondition_bin,"Adults who have been told they have high blood pressure by a doctor, nurse, or other health professional"
cholchk3,num,,10,29782,Health Condition,hc,cvd,cat,hc_cvd_cholchk3_cat,1,1,,,About how long has it been since you last had your cholesterol checked?
bphigh6,num,,7,1912,Health Condition,hc,cvd,cat,hc_cvd_bphigh6_cat,,,,,"Have you ever been told by a doctor, nurse or other health professional that you have high blood pressure? (If Â´YesÂ´ and respondent is female, ask Â´Was this only when you were pregnant?Â´.)"
bpmeds,num,,5,267019,Health Condition,hc,cvd,bin,hc_cvd_bpmeds_bin,,,,,Are you currently taking medicine for your high blood pressure?
cholmed3,num,,5,63455,Health Condition,hc,cvd,bin,hc_cvd_cholmed3_bin,1,,,,Currently taking medicine for high cholesterol
cvdstrk3,num,,5,1429,Health Condition,hc,cvd,bin,hc_cvd_cvdstrk3_bin,1,,,,(Ever told) (you had) a stroke
diabete4,num,,7,985,Health Condition,hc,diabetes,cat,hc_diabetes_diabete4_cat,1,,,hc_diabetes_hascondition_bin,(Ever told) you had diabetes
