var,is_derived,is_visual,num_responses,keep,category,category_abbreviated,subcategory1,subcategory1_abbreviated,subcategory2,analysis,analyzed_by,var_type,hs_ext_column_name,MapCommand,survey_question
FRUITJU2,,,141,y,Nutrition,nut,Fruits,Joice,howmany,VVIP,Nalini,cont,nut_Joice_howmany_cont,"case --FRUITJU2

end as nut_Joice_howmany_cont,","Not including fruit-flavored drinks or fruit juices with added sugar, how often did you drink 100% fruit juice such as apple or orange juice?"
FRUTDA2_,,,160,y,Nutrition,nut,Fruits,fruit,timesperday,VVIP,Monika,cont,nut_fruit_timesperday_cont,"case --FRUTDA2_

end as nut_fruit_timesperday_cont,",Fruit intake in times per day
FTJUDA2_,,,129,y,Nutrition,nut,Fruits,juice,timesperday,VVIP,Monika,cont,nut_juice_timesperday_cont,"case --FTJUDA2_

end as nut_juice_timesperday_cont,",Fruit juice intake in times per day
FVGREEN1,,,172,y,Nutrition,nut,Vegetables,vegetables,howmany,Ignore; low correlation,Mousom,cont,nut_vegetables_howmany_cont,"case --FVGREEN1

end as nut_vegetables_howmany_cont,","How often did you eat a green leafy or lettuce salad, with or without other vegetables?"
GENHLTH,,y,8,y,General Health,gh,Status,status,na,VVIP,Sandeep,cat,gh_status_na_cat,"case --GENHLTH

end as gh_status_na_cat,",Would you say that in general your health is:
GRENDA1_,,,158,y,Nutrition,nut,Vegetables,vegetables,timesperday,Important,Sandeep,cont,nut_vegetables_timesperday_cont,"case --GRENDA1_

end as nut_vegetables_timesperday_cont,",Dark green vegetable intake in times per day
GUNLOAD,,,5,n,Social Status,,Fire arms,cancer,test,ignore,Monika,Binary,,,Are any of these firearms now loaded?
HADHYST2,,,5,y,Health Condition,hc,Cancer,cancer,hysterectomy,,Tim,bin,hc_cancer_hysterectomy_bin,"case --HADHYST2

end as hc_cancer_hysterectomy_bin,",Have you had a hysterectomy? (A hysterectomy is an operation to remove the uterus (womb).)
HADMAM,,,5,y,Health Condition,hc,Cancer,cancer,mammogram,,Tim,bin,hc_cancer_mammogram_bin,"case --HADMAM

end as hc_cancer_mammogram_bin,",Have you ever had a mammogram?
HADSIGM4,,,5,y,Health Condition,hc,Cancer,cancer,colonoscopy,,Tim,bin,hc_cancer_colonoscopy_bin,"case --HADSIGM4

end as hc_cancer_colonoscopy_bin,",Ever Had Sigmoidoscopy/Colonoscopy
HAVARTH5,,,5,y,Health Condition,hc,arthritis,arthritis,condition,,Tim,bin,hc_arthritis_condition_bin,"case --HAVARTH5

end as hc_arthritis_condition_bin,",Told Had Arthritis
HAVECFS,,,1,n,Health Condition,,fatigue,gender,na,Ignore,Sandeep,Binary,hc_is_fatigue,,Do you still have Chronic Fatigue Syndrome (CFS) or (Myalgic Encephalomyelitis) ME?
HAVEHEPB,,,5,y,Health Condition,hc,hepatitis,hepatitis,na,,Tim,bin,hc_hepatitis_na_bin,"case --HAVEHEPB

end as hc_hepatitis_na_bin,","Has a doctor, nurse, or other health professional ever told you that you had hepatitis B?"
HAVEHEPC,,,4,y,Health Condition,hc,hepatitis,hepatitis,test,,Tim,bin,hc_hepatitis_test_bin,"case --HAVEHEPC

end as hc_hepatitis_test_bin,",Do you still have Hepatitis C?
HEIGHT3,,,143,n,General Health,,height,vegetables,na,Ignore; low correlation,Mousom,Continuous,,,"About how tall are you without shoes? (If respondent answers in metrics, put a 9 in the first column)[Round fractions down.]"
HHADULT,,,33,y,Demographics,dem,household,household,na,Think about this,Nalini,cont,dem_household_na_cont,"case --HHADULT

end as dem_household_na_cont,","How many members of your household, including yourself, are 18 years of age or older?"
HIVTST7,,,5,y,Health Condition,hc,hiv,hiv,na,Ignore; low correlation,Mousom,bin,hc_hiv_na_bin,"case --HIVTST7

end as hc_hiv_na_bin,","Including fluid testing from your mouth, but not including tests you may have had for blood donation, have you ever been tested for H.I.V?"
HIVTSTD3,,,489,y,Health Condition,hc,HIV,hiv,test,ignore,Monika,cont,hc_hiv_test_cont,"case --HIVTSTD3

end as hc_hiv_test_cont,","Not including blood donations, in what month and year was your last H.I.V. test?"
HOMBPCHK,,,5,y,Health Condition,hc,cvd,cvd,toldcheckbp,,Tim,bin,hc_cvd_toldcheckbp_bin,"case --HOMBPCHK

end as hc_cvd_toldcheckbp_bin,",Told check blood pressure at home
HOMRGCHK,,,5,y,Health Condition,hc,cvd,cvd,homecheckbp,,Tim,bin,hc_cvd_homecheckbp_bin,"case --HOMRGCHK

end as hc_cvd_homecheckbp_bin,",Regularly check blood pressure at home
HOWLONG,,,8,y,Health Condition,hc,Cancer,cancer,lastmammogram,Ignore,Sandeep,cat,hc_cancer_lastmammogram_cat,"case --HOWLONG

end as hc_cancer_lastmammogram_cat,",How long has it been since you had your last mammogram? (Breast and Cervical Cancer Screening)
HPVADSHT,,,6,n,Vaccine,,HPV,,category,Ignore; low correlation,Mousom,Categorical,,,How many HPV shots did you receive?
HPVADVC4,,y,6,y,Vaccine,vac,HPV,hpv,na,ignore?,Monika,bin,vac_hpv_na_bin,"case --HPVADVC4

end as vac_hpv_na_bin,",Have you ever had an H.P.V. vaccination?
HTIN4,,,58,y,General Health,gh,height,height,na,Important?,Sandeep,cont,gh_height_na_cont,"case --HTIN4

end as gh_height_na_cont,",Reported height in inches
HTM4,,,111,n,General Health,,height,,value,Important? (Either MTIN4 or HTM4),Sandeep,Continuous,,,Reported height in meters
IDATE,,,420,n,Key,,Key,,Key,,,Continuous,,,
IDAY,,,31,n,Key,,Key,,Key,,,Continuous,,,
IMFVPLA2,,,15,n,Vaccine,,Flu,,category,ignore,Monika,Categorical,,,At what kind of place did you get your last flu shot or vaccine?
IMONTH,,,12,n,Key,,Key,,Key,,,Categorical,,,
INCOME3,,y,14,y,Social Status,ss,Income,income,na,Ignore; low correlation,Mousom,cat,ss_income_na_cat,"case --INCOME3

end as ss_income_na_cat,","Is your annual household income from all sources: (If respondent refuses at any income level, code  ÌRefused. Ì)"
INSULIN1,,,5,y,Health Condition,hc,diabetes,diabetes,treatment,,Tim,bin,hc_diabetes_treatment_bin,"case --INSULIN1

end as hc_diabetes_treatment_bin,",Are you now taking insulin?
IYEAR,,,2,n,Key,,Key,,Key,,,Categorical,,,
JOINPAI2,,,14,y,Health Condition,hc,arthritis,arthritis,impact,Think about this,Nalini,cat,hc_arthritis_impact_cat,"case --JOINPAI2

end as hc_arthritis_impact_cat,","During the past 30 days, how bad was your joint pain on average on a scale of 0 to 10 where 0 is no pain and 10 is pain or aching as bad as it can be?"
LADULT1,,,3,n,Phone,,Phone,,Phone,ignore,Monika,Categorical,,,Is this a cell telephone?
LANDLINE,,,5,n,Phone,,Phone,,Phone,Think about this,Nalini,Categorical,,,Do you also have a landline telephone in your home that is used to make and receive calls?
LANDSEX,,,5,n,Demographics,,gender,,category,Ignore,Nalini,Categorical,,,Are you male or female?Â 
LASTSIG4,,,8,y,Health Condition,hc,Cancer,cancer,lastcolonoscopy,Ignore,Sandeep,cat,hc_cancer_lastcolonoscopy_cat,"case --LASTSIG4

end as hc_cancer_lastcolonoscopy_cat,",How long has it been since your most recent colonoscopy or sigmoidoscopy?
LASTSMK2,,,11,y,Social Habits,sh,Smoking,smoking,lastused,VVIP,Monika,cat,sh_smoking_lastused_cat,"case --LASTSMK2

end as sh_smoking_lastused_cat,",": How long has it been since you last smoked a cigarette, even one or two puffs?"
LCSCTSCN,,,6,y,Health Condition,hc,Cancer,cancer,test,,Tim,cat,hc_cancer_test_cat,"case --LCSCTSCN

end as hc_cancer_test_cat,","In the last 12 months, did you have a CT or CAT scan?"
LCSFIRST,,,60,n,Social Habits,,Smoking,,value,Ignore,Monika,Continuous,,,How old were you when you first started to smoke cigarettes regularly
LCSLAST,,,93,n,Social Habits,,Smoking,,value,Ignore,Monika,Continuous,,,How old were you when you last smoked cigarettes regularly?
LCSNUMCG,,,65,n,Social Habits,,Smoking,,value,Can ignore this feature,Nalini,Continuous,,,"On average, when you smoke/smoked regularly, about how many cigarettes do/did you usually smoke each day?"
LMTJOIN3,,,5,y,Health Condition,hc,arthritis,arthritis,impact,Think about this,Nalini,bin,hc_arthritis_impact_bin,"case --LMTJOIN3

end as hc_arthritis_impact_bin,",Are you now limited in any way in any of your usual activities because of arthritis or joint symptoms?
LOADULK2,,,5,n,Social Status,,Fire arms,,category,ignore,Monika,Binary,,,Are any of these loaded firearms also unlocked? 
MARIJAN1,,y,34,y,Social Habits,sh,marijuana,marijuana,na,Think about it,Sandeep,cont,sh_marijuana_na_cont,"case --MARIJAN1

end as sh_marijuana_na_cont,","During the past 30 days, on how many days did you use marijuana or cannabis?"
MARITAL,,,8,y,Demographics,dem,marital status,maritalstatus,na,Ignore; low correlation,Mousom,cat,dem_maritalstatus_na_cat,"case --MARITAL

end as dem_maritalstatus_na_cat,",Are you: (marital status)
MAXDRNKS,,,62,n,Social Habits,,Alcohol,,value,Think about this,Nalini,Continuous,,,"During the past 30 days, what is the largest number of drinks you had on any occasion?"
MEDCOST1,,,5,y,Social Status,ss,Cost,cost,na,Ignore; low correlation,Mousom,bin,ss_cost_na_bin,"case --MEDCOST1

end as ss_cost_na_bin,",Was there a time in the past 12 months when you needed to see a doctor but could not because you could not afford it?
MEDSHEPB,,,3,y,Health Condition,hc,hepatitis,hepatitis,currentmedicine,ignore,Monika,bin,hc_hepatitis_currentmedicine_bin,"case --MEDSHEPB

end as hc_hepatitis_currentmedicine_bin,",Are you currently taking medicine to treat hepatitis B?
MENTHLTH,,,34,y,Health Condition,hc,Mental,mental,impact,VVIP,Monika,cont,hc_mental_impact_cont,"case --MENTHLTH

end as hc_mental_impact_cont,","Now thinking about your mental health, which includes stress, depression, and problems with emotions, for
how many days during the past 30 days was your mental health not good?"
MSCODE,,,5,y,Demographics,dem,Geographic,geographic,metro,ignore,Monika,cat,dem_geographic_metro_cat,"case --MSCODE

end as dem_geographic_metro_cat,",Metropolitan Status Code 
NUMADULT,,,16,n,Phone,,Phone,,Phone,Ignore,Sandeep,Categorical,dem_num_of_household_adults,,Number of Adults in Household
NUMHHOL3,,,5,n,Phone,,Phone,,Phone,,Tim,Categorical,,,"Not including cell phones or numbers used for computers, fax machines or security systems, do you have more than one telephone number in your household?"
NUMMEN,,,13,n,Demographics,,gender,,category,Think about this. If needed for viz,Monika,Categorical,,, How many of these adults are men? 
NUMPHON3,,,10,n,Phone,,Phone,,Phone,ignore,Monika,Categorical,,,How many of these telephone numbers are residential numbers?
NUMWOMEN,,,12,n,Demographics,,gender,,category,ignore,Monika,Categorical,,,So the number of women in the household is [X
PCPSARS2,,,6,y,Health Condition,hc,Cancer,cancer,psatest,Ignore,Sandeep,cat,hc_cancer_psatest_cat,"case --PCPSARS2

end as hc_cancer_psatest_cat,",What was the main reason you had this P.S.A. test â€“ was it â€¦?
PCSTALK,,,7,y,Health Condition,hc,Cancer,cancer,psatesteverhad,ignore,Monika,cat,hc_cancer_psatesteverhad_cat,"case --PCSTALK

end as hc_cancer_psatesteverhad_cat,",Have you ever had a P.S.A. test?
PDIABTST,,,5,y,Health Condition,hc,diabetes,diabetes,test,,Tim,bin,hc_diabetes_test_bin,"case --PDIABTST

end as hc_diabetes_test_bin,",Had a test for high blood sugar or diabetes in the past three years?
PERSDOC3,,,6,y,General Health,gh,Care Provider,careprovider,na,Ignore; low correlation,Mousom,bin,gh_careprovider_na_bin,"case --PERSDOC3

end as gh_careprovider_na_bin,",Do you have one person (or a group of doctors) that you think of as your personal health care provider?
PHYSHLTH,,,34,y,General Health,gh,Status,status,na,Ignore,Monika,cont,gh_status_na_cont,"case --PHYSHLTH

end as gh_status_na_cont,","Now thinking about your physical health, which includes physical illness and injury, for how many days during
the past 30 days was your physical health not good?"
PNEUVAC4,,y,5,y,Vaccine,vac,pneumonia,pneumonia,everhadshot,Ignore; low correlation,Mousom,bin,vac_pneumonia_everhadshot_bin,"case --PNEUVAC4

end as vac_pneumonia_everhadshot_bin,",Have you ever had a pneumonia shot also known as a pneumococcal vaccine?
POORHLTH,,,34,y,Health Condition,hc,MentalPhysical,mentalphysical,impact,ignore?,Nalini,cont,hc_mentalphysical_impact_cont,"case --POORHLTH

end as hc_mentalphysical_impact_cont,","During the past 30 days, for about how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?"
POTADA1_,,y,130,y,Nutrition,nut,Potato,potato,servingsperday,Think about it,Sandeep,cont,nut_potato_servingsperday_cont,"case --POTADA1_

end as nut_potato_servingsperday_cont,",Potato servings per day
POTATOE1,,,142,y,Nutrition,nut,Potato,potato,howoften,,Nalini,cont,nut_potato_howoften_cont,"case --POTATOE1

end as nut_potato_howoften_cont,","How often did you eat any other kind of potatoes, or sweet potatoes, such as baked, boiled, mashed potatoes, or potato salad?"
PREDIAB1,,,6,y,Health Condition,hc,diabetes,diabetes,atrisk,,Tim,bin,hc_diabetes_atrisk_bin,"case --PREDIAB1

end as hc_diabetes_atrisk_bin,",Ever been told by a doctor or other health professional that you have pre-diabetes or borderline diabetes?
PREGNANT,,,5,y,General Health,gh,Pregnant,pregnant,na,,Tim,bin,gh_pregnant_na_bin,"case --PREGNANT

end as gh_pregnant_na_bin,",Pregnancy Status
PRIMINSR,,,14,n,Social Status,,Health Insurance,,category,Ignore; low correlation,Mousom,Categorical,,,What is the current primary source of your health insurance?
PRIRHEPC,,,4,y,Health Condition,hc,hepatitis,hepatitis,prior2015,Can ignore this feature,Nalini,bin,hc_hepatitis_prior2015_bin,"case --PRIRHEPC

end as hc_hepatitis_prior2015_bin,",Were you treated for Hepatitis C prior to 2015?
PSATEST1,,,5,y,Health Condition,hc,Cancer,cancer,psatest,,Tim,bin,hc_cancer_psatest_bin,"case --PSATEST1

end as hc_cancer_psatest_bin,",Ever Had PSA Test (Prostate)
PSATIME1,,,8,y,Health Condition,hc,Cancer,cancer,howlong,Ignore,Sandeep,cat,hc_cancer_howlong_cat,"case --PSATIME1

end as hc_cancer_howlong_cat,",About how long has it been since your most recent P.S.A. test?
PVTRESD1,,,3,n,Phone,,Phone,,Phone,ignore,Monika,Binary,,,Is this a private residence
PVTRESD3,,,3,n,Phone,,Phone,,Phone,ignore,Monika,Binary,,,Do you live in a private residence?
QSTLANG,,,2,n,Demographics,,Language,,category,ignore,Monika,Categorical,,,Language identifier
QSTVER,,,8,n,Phone,,Phone,,Phone,ignore,Monika,Categorical,,,Questionnaire Version Identifier
RCSGENDR,,,4,n,Child Demographics,,Gender,,category,Important,Sandeep,Categorical,,,Is the child a boy or a girl? (Random Child Selection)
RCSRLTN2,,,9,n,Child Demographics,,Relationship,,category,ignore,Monika,Categorical,,,How are you related to the child?
RENTHOM1,,y,6,y,Social Status,ss,Residence,residence,na,,Tim,cat,ss_residence_na_cat,"case --RENTHOM1

end as ss_residence_na_cat,",Do you own or rent your home?
RESPSLCT,,,5,n,Phone,,Phone,,Phone,Ignore; low correlation,Mousom,Categorical,,,The person in your household that I need to speak with is [XXX]. Are you the [XXX] in this household
RSNMRJN2,,,6,y,Social Habits,sh,marijuana,marijuana,usetype,Can ignore this feature,Nalini,cat,sh_marijuana_usetype_cat,"case --RSNMRJN2

end as sh_marijuana_usetype_cat,","When you used marijuana or cannabis during the past 30 days, was it usually:"
SAFETIME,,,2,n,Phone,,Phone,,Phone,Ignore,Sandeep,Categorical,,,Is this a safe time to talk with you?
SDNATES1,,,7,y,Health Condition,hc,Cancer,cancer,stool,Ignore; low correlation,Mousom,cat,hc_cancer_stool_cat,"case --SDNATES1

end as hc_cancer_stool_cat,",How long since you had stool DNA
SEQNO,,,39095,n,Key,,Key,,Key,,,Continuous,,,
SEXVAR,,,2,n,Demographics,,gender,,category,Ignore,Nalini,Categorical,,,Sex of RespondentÂ 
SHAREBP,,,7,y,Health Condition,hc,cvd,cvd,test,Ignore; low correlation,Mousom,cat,hc_cvd_test_cat,"case --SHAREBP

end as hc_cvd_test_cat,","How do you share your blood pressure numbers that you collected with your health professional? Is it mostly by telephone, other methods such as emails, internet portal or fax, or in person?"
SHINGLE2,,y,5,y,vaccine,vac,shingleszoster,shingleszoster,na,,Tim,bin,vac_shingleszoster_na_bin,"case --SHINGLE2

end as vac_shingleszoster_na_bin,",Have you ever had the shingles or zoster vaccine?
SIGMTES1,,,7,y,Health Condition,hc,Cancer,cancer,sigmoidoscopy,,Tim,cat,hc_cancer_sigmoidoscopy_cat,"case --SIGMTES1

end as hc_cancer_sigmoidoscopy_cat,",How long since you had sigmoidoscopy
SMALSTOL,,,4,y,Health Condition,hc,Cancer,cancer,stoolspecialkit,Ignore,Sandeep,bin,hc_cancer_stoolspecialkit_bin,"case --SMALSTOL

end as hc_cancer_stoolspecialkit_bin,",One stool test uses a special kit to obtain a small amount of stool at home and returns the kit to the doctor or the lab. Have you ever had this test?
SMOKDAY2,,,6,y,Social Habits,sh,cigarettes,cigarettes,now,VVIP,Sandeep,cat,sh_cigarettes_now_cat,"case --SMOKDAY2

end as sh_cigarettes_now_cat,","Do you now smoke cigarettes every day, some days, or not at all?"
SMOKE100,,,5,y,Social Habits,sh,cigarettes,cigarettes,100perlife,,Tim,bin,sh_cigarettes_100perlife_bin,"case --SMOKE100

end as sh_cigarettes_100perlife_bin,",Have you smoked at least 100 cigarettes in your entire life? [Note: 5 packs = 100 cigarettes]
SOFEMALE,,,7,y,Demographics,dem,sex,sex,femalehowyouthink,Ignore; related to 63,Mousom,cat,dem_sex_femalehowyouthink_cat,"case --SOFEMALE

end as dem_sex_femalehowyouthink_cat,",Which of the following best represents how you think of yourself?
SOMALE,,,7,y,Demographics,dem,sex,sex,malehowyouthink,,Mousom,cat,dem_sex_malehowyouthink_cat,"case --SOMALE

end as dem_sex_malehowyouthink_cat,",Which of the following best represents how you think of yourself?
STATERE1,,,2,n,Demographics,,State,,category,Ignore,Sandeep,Binary,,,Do you currently live in ____(state)____?
STOLTEST,,,7,y,Health Condition,hc,Cancer,cancer,stooltesthowlong,Can ignore this feature,Nalini,cat,hc_cancer_stooltesthowlong_cat,"case --STOLTEST

end as hc_cancer_stooltesthowlong_cat,",How long since you had stool test?
STOOLDN1,,,5,y,Health Condition,hc,Cancer,cancer,stooltesthome,ignore?,Monika,bin,hc_cancer_stooltesthome_bin,"case --STOOLDN1

end as hc_cancer_stooltesthome_bin,","Another stool test uses a special kit to obtain an entire bowel movement at home and returns the kit to a lab.
Have you ever had this Cologuard test? "
STOPSMK2,,,5,n,Social Habits,,Smoking,,category,Can ignore this feature,Nalini,Binary,,,"During the past 12 months, have you stopped smoking for one day or longer because you were trying to quit smoking?"
TETANUS1,,y,7,y,Vaccine,vac,Tetanus,tetanus,na,,Tim,cat,vac_tetanus_na_cat,"case --TETANUS1

end as vac_tetanus_na_cat,",Received Tetanus Shot Since 2005?
TOLDCFS,,,1,n,Health Condition,,fatigue,,condition,Ignore,Sandeep,Binary,hc_is_fatigue,,Have you ever been told by a doctor or other health professional that you had Chronic Fatigue Syndrome (CFS) or (Myalgic Encephalomyelitis) ME?
TOLDHEPC,,,5,y,Health Condition,hc,hepatitis,hepatitis,evertold,,Tim,bin,hc_hepatitis_evertold_bin,"case --TOLDHEPC

end as hc_hepatitis_evertold_bin,",Have you ever been told by a doctor or other health professional that you had Hepatitis C?
TOLDHI3,,,5,y,Health Condition,hc,cvd,cvd,cholesteroltoldhigh,,Tim,bin,hc_cvd_cholesteroltoldhigh_bin,"case --TOLDHI3

end as hc_cvd_cholesteroltoldhigh_bin,","Adults who have had their cholesterol checked and have been told by a doctor, nurse, or other health professional that it was high"
TRETHEPC,,,4,y,Health Condition,hc,Hepatitis,hepatitis,treat2015,Ignore,Sandeep,bin,hc_hepatitis_treat2015_bin,"case --TRETHEPC

end as hc_hepatitis_treat2015_bin,",Were you treated for Hepatitis C in 2015 or after?
TRNSGNDR,,,7,y,Demographics,dem,gender,gender,na,,Tim,bin,dem_gender_na_bin,"case --TRNSGNDR

end as dem_gender_na_bin,",Do you consider yourself to be transgender?
USEMRJN3,,,9,n,NA,,NA,,NA,Ignore,Sandeep,Categorical,,,Did not find this field
USENOW3,,y,6,y,Social Habits,sh,Smokeless Tobacco,smokelesstobacco,na,,Tim,cat,sh_smokelesstobacco_na_cat,"case --USENOW3

end as sh_smokelesstobacco_na_cat,",Use of Smokeless Tobacco Products
VCLNTES1,,,8,y,Health Condition,hc,Cancer,cancer,recentcolonoscopy,,Tim,cat,hc_cancer_recentcolonoscopy_cat,"case --VCLNTES1

end as hc_cancer_recentcolonoscopy_cat,",When was your most recent CT colonography or virtual colonoscopy?
VEGEDA2_,,,158,y,Nutrition,nut,Vegetables,vegetables,otherintake,VVIP,Monika,cont,nut_vegetables_otherintake_cont,"case --VEGEDA2_

end as nut_vegetables_otherintake_cont,",Other vegetable intake in times per day
VEGETAB2,,,169,y,Nutrition,nut,Vegetables,vegetables,otherhowoften,VVIP,Mousom,cont,nut_vegetables_otherhowoften_cont,"case --VEGETAB2

end as nut_vegetables_otherhowoften_cont,","Not including lettuce salads and potatoes, how often did you eat other vegetables?"
VETERAN3,,y,5,y,Social Status,ss,veteran,veteran,na,,Tim,bin,ss_veteran_na_bin,"case --VETERAN3

end as ss_veteran_na_bin,","Have you ever served on active duty in the United States Armed Forces, either in the regular military or in a National Guard or military reserve unit?"
VIRCOLO1,,,5,y,Health Condition,hc,Cancer,cancer,virtualcolonoscopy,Ignore,Sandeep,bin,hc_cancer_virtualcolonoscopy_bin,"case --VIRCOLO1

end as hc_cancer_virtualcolonoscopy_bin,",A virtual colonoscopy uses a series of X-rays to take pictures of inside the colon. Have you ever had a virtual colonoscopy?
WEIGHT2,,,588,y,General Health,gh,Weight,weight,na,,Mousom,cont,gh_weight_na_cont,"case --WEIGHT2

end as gh_weight_na_cont,",About how much do you weigh without shoes?
WHEREBP,,,6,y,Health Condition,hc,cvd,test,bp,ignore,Monika,cat,hc_test_bp_cat,"case --WHEREBP

end as hc_test_bp_cat,",": Do you take it mostly at home or on a machine at a pharmacy, grocery or similar location?"
WORKCFS,,,1,n,Social Status,,Employment,,category,Ignore,Sandeep,Categorical,,,"Thinking about your CFS or ME, during the past 6 months, how many hours a week on average have you been able to work at a job or business for pay?"
WTCHSALT,,,5,y,Nutrition,nut,sodium,sodium,na,Can ignore this feature,Nalini,bin,nut_sodium_na_bin,"case --WTCHSALT

end as nut_sodium_na_bin,",Are you currently watching or reducing your sodium or salt intake?
WTKG3,,,572,n,General Health,,Weight,,value,VVIP,Sandeep,Continuous,,,Reported weight in kilograms
